kelas,hari,sesi,mata_kuliah
1IA17,rabu,0,ada
1IA17,rabu,1,ada
1IA17,rabu,2,ada
1IA17,rabu,3,ada
1IA17,rabu,4,
1IA17,kamis,0,
1IA17,kamis,1,ada
1IA17,kamis,2,ada
1IA17,kamis,3,ada
1IA17,kamis,4,
1IA17,jumat,0,
1IA17,jumat,1,
1IA17,jumat,2,
1IA17,jumat,3,
1IA17,jumat,4,
1IA17,sabtu,0,ada
1IA17,sabtu,1,ada
1IA17,sabtu,2,ada
1IA17,sabtu,3,
1IA17,sabtu,4,
